id,cardcat_id,card_id
505,2,505
506,2,506
507,2,507
508,2,508
509,2,509
510,2,510
511,2,511
512,2,512
513,2,513
514,2,514
515,2,515
516,2,516
517,2,517
518,2,518
519,2,519
520,2,520
521,2,521
522,2,522
523,2,523
524,2,524
525,2,525
526,2,526
527,2,527
528,2,528
529,2,529
530,2,530
531,2,531
532,2,532
533,2,533
534,2,534
535,2,535
536,2,536
537,2,537
538,2,538
539,2,539
540,2,540
541,2,541
542,2,542
543,2,543
544,2,544
545,2,545
546,2,546
547,2,547
548,2,548
549,2,549
550,2,550
551,2,551
552,2,552
553,2,553
554,2,554
555,2,555
556,2,556
557,2,557
558,2,558
559,2,559
560,2,560
561,2,561
562,2,562
563,2,563
564,2,564
565,2,565
566,2,566
567,2,567
568,2,568
569,2,569
570,2,570
571,2,571
572,2,572
573,2,573
574,2,574
575,2,575
576,2,576
577,2,577
578,2,578
579,2,579
580,2,580
581,2,581
582,2,582
583,2,583
584,2,584
585,2,585
586,2,586
587,2,587
588,2,588
589,2,589
590,2,590
591,2,591
592,2,592
593,2,593
594,2,594
595,2,595
596,2,596
597,2,597
598,2,598
599,2,599
600,2,600
601,2,601
602,2,602
603,2,603
604,2,604
605,2,605
606,2,606
607,2,607
608,2,608
609,2,609
610,2,610
611,2,611
612,2,612
613,2,613
614,2,614
615,2,615
616,2,616
617,2,617
618,2,618
619,2,619
620,2,620
621,2,621
622,2,622
623,2,623
624,2,624
625,2,625
626,2,626
627,2,627
628,2,628
629,2,629
630,2,630
631,2,631
632,2,632
633,2,633
634,2,634
635,2,635
636,2,636
637,2,637
638,2,638
639,2,639
640,2,640
641,2,641
642,2,642
643,2,643
644,2,644
645,2,645
646,2,646
647,2,647
648,2,648
649,2,649
650,2,650
651,2,651
652,2,652
653,2,653
654,2,654
655,2,655
656,2,656
657,2,657
658,2,658
659,2,659
660,2,660
661,2,661
662,2,662
663,2,663
664,2,664
665,2,665
666,2,666
667,2,667
668,2,668
669,2,669
670,2,670
671,2,671
672,2,672
673,2,673
674,2,674
675,2,675
676,2,676
677,2,677
678,2,678
679,2,679
680,2,680
681,2,681
682,2,682
683,2,683
684,2,684
685,2,685
686,2,686
687,2,687
688,2,688
689,2,689
690,2,690
691,2,691
692,2,692
693,2,693
694,2,694
695,2,695
696,2,696
697,2,697
698,2,698
699,2,699
700,2,700
701,2,701
702,2,702
703,2,703
704,2,704
705,2,705
706,2,706
707,2,707
708,2,708
709,2,709
710,2,710
711,2,711
712,2,712
713,2,713
714,2,714
715,2,715
716,2,716
717,2,717
718,2,718
719,2,719
720,2,720
721,2,721
722,2,722
723,2,723
724,2,724
725,2,725
726,2,726
727,2,727
728,2,728
729,2,729
730,2,730
731,2,731
732,2,732
733,2,733
734,2,734
735,2,735
736,2,736
737,2,737
738,2,738
739,2,739
740,2,740
741,2,741
742,2,742
743,2,743
744,2,744
745,2,745
746,2,746
747,2,747
748,2,748
749,2,749
750,2,750
751,2,751
752,2,752
753,2,753
754,2,754
755,2,755
756,2,756
757,2,757
758,2,758
759,2,759
760,2,760
761,2,761
762,2,762
763,2,763
764,2,764
765,2,765
766,2,766
767,2,767
768,2,768
769,2,769
770,2,770
771,2,771
772,2,772
773,2,773
774,2,774
775,2,775
776,2,776
777,2,777
778,2,778
779,2,779
780,2,780
781,2,781
782,2,782
783,2,783
784,2,784
785,2,785
786,2,786
787,2,787
788,2,788
789,2,789
790,2,790
791,2,791
792,2,792
793,2,793
794,2,794
795,2,795
796,2,796
797,2,797
798,2,798
799,2,799
800,2,800
801,2,801
802,2,802
803,2,803
804,2,804
805,2,805
806,2,806
807,2,807
808,2,808
809,2,809
810,2,810
811,2,811
812,2,812
813,2,813
814,2,814
815,2,815
816,2,816
817,2,817
818,2,818
819,2,819
820,2,820
821,2,821
822,2,822
823,2,823
824,2,824
825,2,825
826,2,826
827,2,827
828,2,828
829,2,829
830,2,830
831,2,831
832,2,832
833,2,833
834,2,834
835,2,835
836,2,836
837,2,837
838,2,838
839,2,839
840,2,840
841,2,841
842,2,842
843,2,843
844,2,844
845,2,845
846,2,846
847,2,847
848,2,848
849,2,849
850,2,850
851,2,851
852,2,852
853,2,853
854,2,854
855,2,855
856,2,856
857,2,857
858,2,858
859,2,859
860,2,860
861,2,861
862,2,862
863,2,863
864,2,864
865,2,865
866,2,866
867,2,867
868,2,868
869,2,869
870,2,870
871,2,871
872,2,872
873,2,873
874,2,874
875,2,875
876,2,876
877,2,877
878,2,878
879,2,879
880,2,880
881,2,881
882,2,882
883,2,883
884,2,884
885,2,885
886,2,886
887,2,887
888,2,888
889,2,889
890,2,890
891,2,891
892,2,892
893,2,893
894,2,894
895,2,895
896,2,896
897,2,897
898,2,898
899,2,899
900,2,900
901,2,901
902,2,902
903,2,903
904,2,904
905,2,905
906,2,906
907,2,907
908,2,908
909,2,909
910,2,910
911,2,911
912,2,912
913,2,913
914,2,914
915,2,915
916,2,916
917,2,917
918,2,918
919,2,919
920,2,920
921,2,921
922,2,922
923,2,923
924,2,924
925,2,925
926,2,926
927,2,927
928,2,928
929,2,929
930,2,930
931,2,931
932,2,932
933,2,933
934,2,934
935,2,935
936,2,936
937,2,937
938,2,938
939,2,939
940,2,940
941,2,941
942,2,942
943,2,943
944,2,944
945,2,945
946,2,946
947,2,947
948,2,948
949,2,949
950,2,950
951,2,951
952,2,952
953,2,953
954,2,954
